icd_10_cm_code,icd_10_cm_code_description,default_ccsr_category_ip,default_ccsr_category_description_ip,default_ccsr_category_op,default_ccsr_category_description_op,ccsr_category_1,ccsr_category_1_description,ccsr_category_2,ccsr_category_2_description,ccsr_category_3,ccsr_category_3_description,ccsr_category_4,ccsr_category_4_description,ccsr_category_5,ccsr_category_5_description,ccsr_category_6,ccsr_category_6_description
A301,Tuberculoid leprosy,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A302,Borderline tuberculoid leprosy,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A303,Borderline leprosy,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A304,Borderline lepromatous leprosy,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A305,Lepromatous leprosy,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A308,Other forms of leprosy,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A309,"Leprosy, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A310,Pulmonary mycobacterial infection,RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A311,Cutaneous mycobacterial infection,SKN001,Skin and subcutaneous tissue infections,SKN001,Skin and subcutaneous tissue infections,INF003,Bacterial infections,SKN001,Skin and subcutaneous tissue infections, , , , , , , , 
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A318,Other mycobacterial infections,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A319,"Mycobacterial infection, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A320,Cutaneous listeriosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A3211,Listerial meningitis,NVS001,Meningitis,NVS001,Meningitis,INF003,Bacterial infections,NVS001,Meningitis, , , , , , , , 
A3212,Listerial meningoencephalitis,NVS002,Encephalitis,NVS002,Encephalitis,INF003,Bacterial infections,NVS002,Encephalitis, , , , , , , , 
A327,Listerial sepsis,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A3281,Oculoglandular listeriosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A3282,Listerial endocarditis,CIR004,Endocarditis and endocardial disease,CIR004,Endocarditis and endocardial disease,CIR004,Endocarditis and endocardial disease,INF003,Bacterial infections, , , , , , , , 
A3289,Other forms of listeriosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A329,"Listeriosis, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A33,Tetanus neonatorum,PNL009,Perinatal infections,PNL009,Perinatal infections,INF003,Bacterial infections,PNL009,Perinatal infections, , , , , , , , 
A34,Obstetrical tetanus,PRG023,Complications specified during childbirth,PRG023,Complications specified during childbirth,INF003,Bacterial infections,PRG023,Complications specified during childbirth, , , , , , , , 
A35,Other tetanus,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A360,Pharyngeal diphtheria,RSP006,Other specified upper respiratory infections,RSP006,Other specified upper respiratory infections,INF003,Bacterial infections,RSP006,Other specified upper respiratory infections, , , , , , , , 
A361,Nasopharyngeal diphtheria,RSP006,Other specified upper respiratory infections,RSP006,Other specified upper respiratory infections,INF003,Bacterial infections,RSP006,Other specified upper respiratory infections, , , , , , , , 
A362,Laryngeal diphtheria,RSP006,Other specified upper respiratory infections,RSP006,Other specified upper respiratory infections,INF003,Bacterial infections,RSP006,Other specified upper respiratory infections, , , , , , , , 
A363,Cutaneous diphtheria,SKN001,Skin and subcutaneous tissue infections,SKN001,Skin and subcutaneous tissue infections,INF003,Bacterial infections,SKN001,Skin and subcutaneous tissue infections, , , , , , , , 
A3681,Diphtheritic cardiomyopathy,CIR005,Myocarditis and cardiomyopathy,CIR005,Myocarditis and cardiomyopathy,CIR005,Myocarditis and cardiomyopathy,INF003,Bacterial infections, , , , , , , , 
A3682,Diphtheritic radiculomyelitis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A3683,Diphtheritic polyneuritis,NVS015,Polyneuropathies,NVS015,Polyneuropathies,INF003,Bacterial infections,NVS015,Polyneuropathies, , , , , , , , 
A3684,Diphtheritic tubulo-interstitial nephropathy,GEN001,Nephritis; nephrosis; renal sclerosis,GEN001,Nephritis; nephrosis; renal sclerosis,GEN001,Nephritis; nephrosis; renal sclerosis,INF003,Bacterial infections, , , , , , , , 
A3685,Diphtheritic cystitis,GEN004,Urinary tract infections,GEN004,Urinary tract infections,GEN004,Urinary tract infections,INF003,Bacterial infections, , , , , , , , 
A3686,Diphtheritic conjunctivitis,EYE001,Cornea and external disease,EYE001,Cornea and external disease,EYE001,Cornea and external disease,INF003,Bacterial infections, , , , , , , , 
A3689,Other diphtheritic complications,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A369,"Diphtheria, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A3700,Whooping cough due to Bordetella pertussis without pneumonia,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A3701,Whooping cough due to Bordetella pertussis with pneumonia,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A3710,Whooping cough due to Bordetella parapertussis without pneumonia,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A3711,Whooping cough due to Bordetella parapertussis with pneumonia,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A3780,Whooping cough due to other Bordetella species without pneumonia,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A3781,Whooping cough due to other Bordetella species with pneumonia,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A3790,"Whooping cough, unspecified species without pneumonia",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A3791,"Whooping cough, unspecified species with pneumonia",RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A380,Scarlet fever with otitis media,EAR001,Otitis media,EAR001,Otitis media,EAR001,Otitis media,INF003,Bacterial infections, , , , , , , , 
A381,Scarlet fever with myocarditis,CIR005,Myocarditis and cardiomyopathy,CIR005,Myocarditis and cardiomyopathy,CIR005,Myocarditis and cardiomyopathy,INF003,Bacterial infections, , , , , , , , 
A388,Scarlet fever with other complications,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A389,"Scarlet fever, uncomplicated",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A390,Meningococcal meningitis,NVS001,Meningitis,NVS001,Meningitis,INF003,Bacterial infections,NVS001,Meningitis, , , , , , , , 
A391,Waterhouse-Friderichsen syndrome,END015,Other specified and unspecified endocrine disorders,END015,Other specified and unspecified endocrine disorders,END015,Other specified and unspecified endocrine disorders,INF003,Bacterial infections, , , , , , , , 
A392,Acute meningococcemia,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A393,Chronic meningococcemia,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A394,"Meningococcemia, unspecified",INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A3950,"Meningococcal carditis, unspecified",CIR005,Myocarditis and cardiomyopathy,CIR005,Myocarditis and cardiomyopathy,CIR005,Myocarditis and cardiomyopathy,INF003,Bacterial infections, , , , , , , , 
A3951,Meningococcal endocarditis,CIR004,Endocarditis and endocardial disease,CIR004,Endocarditis and endocardial disease,CIR004,Endocarditis and endocardial disease,INF003,Bacterial infections, , , , , , , , 
A3952,Meningococcal myocarditis,CIR005,Myocarditis and cardiomyopathy,CIR005,Myocarditis and cardiomyopathy,CIR005,Myocarditis and cardiomyopathy,INF003,Bacterial infections, , , , , , , , 
A3953,Meningococcal pericarditis,CIR006,Pericarditis and pericardial disease,CIR006,Pericarditis and pericardial disease,CIR006,Pericarditis and pericardial disease,INF003,Bacterial infections, , , , , , , , 
A3981,Meningococcal encephalitis,NVS002,Encephalitis,NVS002,Encephalitis,INF003,Bacterial infections,NVS002,Encephalitis, , , , , , , , 
A3982,Meningococcal retrobulbar neuritis,EYE006,Neuro-ophthalmology,EYE006,Neuro-ophthalmology,EYE006,Neuro-ophthalmology,INF003,Bacterial infections, , , , , , , , 
A3983,Meningococcal arthritis,MUS001,Infective arthritis,MUS001,Infective arthritis,INF003,Bacterial infections,MUS001,Infective arthritis, , , , , , , , 
A3984,Postmeningococcal arthritis,MUS008,Immune-mediated/reactive arthropathies,MUS008,Immune-mediated/reactive arthropathies,INF003,Bacterial infections,MUS008,Immune-mediated/reactive arthropathies, , , , , , , , 
A3989,Other meningococcal infections,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A399,"Meningococcal infection, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A400,"Sepsis due to streptococcus, group A",INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A401,"Sepsis due to streptococcus, group B",INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A403,Sepsis due to Streptococcus pneumoniae,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A408,Other streptococcal sepsis,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A409,"Streptococcal sepsis, unspecified",INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A411,Sepsis due to other specified staphylococcus,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A412,Sepsis due to unspecified staphylococcus,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A413,Sepsis due to Hemophilus influenzae,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A414,Sepsis due to anaerobes,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4150,"Gram-negative sepsis, unspecified",INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4151,Sepsis due to Escherichia coli [E. coli],INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4152,Sepsis due to Pseudomonas,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4153,Sepsis due to Serratia,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4159,Other Gram-negative sepsis,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4181,Sepsis due to Enterococcus,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4189,Other specified sepsis,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A419,"Sepsis, unspecified organism",INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A420,Pulmonary actinomycosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A421,Abdominal actinomycosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A422,Cervicofacial actinomycosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A427,Actinomycotic sepsis,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A4281,Actinomycotic meningitis,NVS001,Meningitis,NVS001,Meningitis,INF003,Bacterial infections,NVS001,Meningitis, , , , , , , , 
A4282,Actinomycotic encephalitis,NVS002,Encephalitis,NVS002,Encephalitis,INF003,Bacterial infections,NVS002,Encephalitis, , , , , , , , 
A4289,Other forms of actinomycosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A429,"Actinomycosis, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A430,Pulmonary nocardiosis,RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A431,Cutaneous nocardiosis,SKN001,Skin and subcutaneous tissue infections,SKN001,Skin and subcutaneous tissue infections,INF003,Bacterial infections,SKN001,Skin and subcutaneous tissue infections, , , , , , , , 
A438,Other forms of nocardiosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A439,"Nocardiosis, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A440,Systemic bartonellosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A441,Cutaneous and mucocutaneous bartonellosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A448,Other forms of bartonellosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A449,"Bartonellosis, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A46,Erysipelas,SKN001,Skin and subcutaneous tissue infections,SKN001,Skin and subcutaneous tissue infections,INF003,Bacterial infections,SKN001,Skin and subcutaneous tissue infections, , , , , , , , 
